   0.0000000000000000              (1.0000000000000000,6.14261124001941600E-035)
   1.0000000000000000E-002       (0.99995714440608052,-3.12327019285811754E-003)
   2.0000000000000000E-002       (0.99982859892169651,-6.24600140649530546E-003)
   2.9999999999999999E-002       (0.99961440842447924,-9.36765496830570601E-003)
   4.0000000000000001E-002       (0.99931463501792051,-1.24876926684482220E-002)
   5.0000000000000003E-002       (0.99892935801105487,-1.56055769007098603E-002)
   6.0000000000000005E-002       (0.99845867388445475,-1.87207708031220145E-002)
   7.0000000000000007E-002       (0.99790269626139405,-2.18327383981931460E-002)
   8.0000000000000002E-002       (0.99726155586605103,-2.49409447327991196E-002)
   8.9999999999999997E-002       (0.99653540048103595,-2.80448560176134835E-002)
   9.9999999999999992E-002       (0.99572439489795739,-3.11439397660740018E-002)
  0.10999999999999999            (0.99482872086341412,-3.42376649328150345E-002)
  0.11999999999999998            (0.99384857702072427,-3.73255020515135746E-002)
  0.12999999999999998            (0.99278417884487369,-4.04069233721396845E-002)
  0.13999999999999999            (0.99163575857562114,-4.34814029974920774E-002)
  0.14999999999999999            (0.99040356514135219,-4.65484170190678809E-002)
  0.16000000000000000            (0.98908786408297922,-4.96074436521140791E-002)
  0.17000000000000001            (0.98768893746885300,-5.26579633699102295E-002)
  0.18000000000000002            (0.98620708380769573,-5.56994590371711062E-002)
  0.19000000000000003            (0.98464261795452501,-5.87314160425599502E-002)
  0.20000000000000004            (0.98299587101388053,-6.17533224302458938E-002)
  0.21000000000000005            (0.98126719023718834,-6.47646690304704981E-002)
  0.22000000000000006            (0.97945693891527963,-6.77649495890907116E-002)
  0.23000000000000007            (0.97756549626708589,-7.07536608960305097E-002)
  0.24000000000000007            (0.97559325732360247,-7.37303029126017695E-002)
  0.25000000000000006            (0.97354063280636205,-7.66943788976977431E-002)
  0.26000000000000006            (0.97140804900408584,-7.96453955327059288E-002)
  0.27000000000000007            (0.96919594763968531,-8.25828630453039336E-002)
  0.28000000000000008            (0.96690478574034444,-8.55062953317686364E-002)
  0.29000000000000009            (0.96453503549597153,-8.84152100781784994E-002)
  0.30000000000000010            (0.96208718411774596,-9.13091288800740863E-002)
  0.31000000000000011            (0.95956173369137587,-9.41875773608070038E-002)
  0.32000000000000012            (0.95695920102671617,-9.70500852883612042E-002)
  0.33000000000000013            (0.95428011750102371,-9.98961866908017193E-002)
  0.34000000000000014                 (0.95152502890167145,-0.10272541997008462)
  0.35000000000000014                 (0.94869449526178484,-0.10553732801439245)
  0.36000000000000015                 (0.94578909069452244,-0.10833145830880611)
  0.37000000000000016                 (0.94280940322036610,-0.11110736304444579)
  0.38000000000000017                 (0.93975603459482571,-0.11386459922580941)
  0.39000000000000018                 (0.93662960012846819,-0.11660272877654505)
  0.40000000000000019                 (0.93343072850538034,-0.11932131864342656)
  0.41000000000000020                 (0.93016006159782272,-0.12201994089856633)
  0.42000000000000021                 (0.92681825427737696,-0.12469817283984763)
